Dataset,#TrainingRelease,%Training (data on training / total data),%Defective in training,%Defective in testing,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
openjpaProportion_without_duplicated_lines,11,0.508,0.77,0.686,Ibk,NONE,NONE,NONE,1265.0,571.0,84.0,163.0,0.689,0.886,0.54,0.017
openjpaProportion_without_duplicated_lines,12,0.605,0.756,0.728,RandomForest,NONE,NONE,NONE,335.0,72.0,110.0,152.0,0.823,0.688,0.716,0.257
openjpaProportion_without_duplicated_lines,12,0.605,0.756,0.728,NaiveBayes,NONE,NONE,NONE,193.0,4.0,178.0,294.0,0.98,0.396,0.791,0.25
openjpaProportion_without_duplicated_lines,12,0.605,0.756,0.728,Ibk,NONE,NONE,NONE,374.0,118.0,64.0,113.0,0.76,0.768,0.68,0.121
openjpaProportion_without_duplicated_lines,13,0.636,0.755,0.724,RandomForest,NONE,NONE,NONE,479.0,123.0,85.0,66.0,0.796,0.879,0.825,0.314
openjpaProportion_without_duplicated_lines,13,0.636,0.755,0.724,NaiveBayes,NONE,NONE,NONE,235.0,17.0,191.0,310.0,0.933,0.431,0.763,0.243
openjpaProportion_without_duplicated_lines,13,0.636,0.755,0.724,Ibk,NONE,NONE,NONE,525.0,172.0,36.0,20.0,0.753,0.963,0.792,0.176
openjpaProportion_without_duplicated_lines,14,0.671,0.753,0.701,RandomForest,NONE,NONE,NONE,410.0,104.0,103.0,76.0,0.798,0.844,0.826,0.355
openjpaProportion_without_duplicated_lines,14,0.671,0.753,0.701,NaiveBayes,NONE,NONE,NONE,176.0,6.0,201.0,310.0,0.967,0.362,0.78,0.234
openjpaProportion_without_duplicated_lines,14,0.671,0.753,0.701,Ibk,NONE,NONE,NONE,479.0,186.0,21.0,7.0,0.72,0.986,0.762,0.116
openjpaProportion_without_duplicated_lines,15,0.703,0.751,0.708,RandomForest,NONE,NONE,NONE,522.0,151.0,96.0,76.0,0.776,0.873,0.799,0.287
openjpaProportion_without_duplicated_lines,15,0.703,0.751,0.708,NaiveBayes,NONE,NONE,NONE,238.0,16.0,231.0,360.0,0.937,0.398,0.754,0.237
openjpaProportion_without_duplicated_lines,15,0.703,0.751,0.708,Ibk,NONE,NONE,NONE,569.0,211.0,36.0,29.0,0.729,0.952,0.739,0.124
openjpaProportion_without_duplicated_lines,16,0.742,0.749,0.8,RandomForest,NONE,NONE,NONE,648.0,91.0,82.0,46.0,0.877,0.934,0.905,0.452
openjpaProportion_without_duplicated_lines,16,0.742,0.749,0.8,NaiveBayes,NONE,NONE,NONE,517.0,61.0,112.0,177.0,0.894,0.745,0.757,0.313
openjpaProportion_without_duplicated_lines,16,0.742,0.749,0.8,Ibk,NONE,NONE,NONE,659.0,157.0,16.0,35.0,0.808,0.95,0.736,0.057
openjpaProportion_without_duplicated_lines,17,0.782,0.751,0.53,RandomForest,NONE,NONE,NONE,1147.0,399.0,943.0,364.0,0.742,0.759,0.809,0.462
openjpaProportion_without_duplicated_lines,17,0.782,0.751,0.53,NaiveBayes,NONE,NONE,NONE,835.0,205.0,1137.0,676.0,0.803,0.553,0.771,0.392
openjpaProportion_without_duplicated_lines,17,0.782,0.751,0.53,Ibk,NONE,NONE,NONE,1220.0,960.0,382.0,291.0,0.56,0.807,0.552,0.095
openjpaProportion_without_duplicated_lines,18,0.914,0.719,0.702,RandomForest,NONE,NONE,NONE,357.0,78.0,151.0,183.0,0.821,0.661,0.72,0.283
openjpaProportion_without_duplicated_lines,18,0.914,0.719,0.702,NaiveBayes,NONE,NONE,NONE,250.0,19.0,210.0,290.0,0.929,0.463,0.737,0.283
openjpaProportion_without_duplicated_lines,18,0.914,0.719,0.702,Ibk,NONE,NONE,NONE,363.0,109.0,120.0,177.0,0.769,0.672,0.644,0.181
openjpaProportion_without_duplicated_lines,19,0.95,0.719,0.695,RandomForest,NONE,NONE,NONE,659.0,183.0,145.0,89.0,0.783,0.881,0.827,0.351
openjpaProportion_without_duplicated_lines,19,0.95,0.719,0.695,NaiveBayes,NONE,NONE,NONE,462.0,39.0,289.0,286.0,0.922,0.618,0.786,0.412
openjpaProportion_without_duplicated_lines,19,0.95,0.719,0.695,Ibk,NONE,NONE,NONE,720.0,275.0,53.0,28.0,0.724,0.963,0.743,0.157
openjpaProportion_without_duplicated_lines,1,0.042,0.66,0.707,RandomForest,OVERSAMPLING,NONE,NONE,29.0,9.0,223.0,530.0,0.763,0.052,0.71,0.008
openjpaProportion_without_duplicated_lines,1,0.042,0.66,0.707,NaiveBayes,OVERSAMPLING,NONE,NONE,106.0,4.0,228.0,453.0,0.964,0.19,0.667,0.11
openjpaProportion_without_duplicated_lines,1,0.042,0.66,0.707,Ibk,OVERSAMPLING,NONE,NONE,92.0,4.0,228.0,467.0,0.958,0.165,0.515,0.093
openjpaProportion_without_duplicated_lines,2,0.079,0.682,0.787,RandomForest,OVERSAMPLING,NONE,NONE,409.0,61.0,89.0,145.0,0.87,0.738,0.75,0.275
