Version,File Name,LOC,NR,NFix,NAuth,LOC_added,MAX_LOC_added,Churn,MAX_Churn,Age,Buggy
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,106,2,0,2,296,148,296,148,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,104,4,0,4,357,173,347,173,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,84,4,0,4,305,147,295,147,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,39,7,1,7,1597,763,855,763,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,170,7,2,7,647,209,443,209,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,22,4,1,4,113,54,108,54,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,10,3,0,3,81,38,76,38,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,41,3,0,3,200,98,196,98,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,15,4,0,4,87,38,77,38,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,25,4,1,4,192,94,163,94,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/ZkUtils.java,44,4,1,4,188,94,173,94,35,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieLayoutVersionTest.java,195,3,3,3,291,246,261,246,2,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/EntryLogTest.java,57,1,1,1,90,90,90,90,0,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTestClient.java,34,4,2,4,74,61,71,61,16,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieRecoveryTest.java,368,11,6,11,1527,607,1423,607,35,Yes
