@relation openjpaProportion-weka.filters.unsupervised.attribute.SwapValues-Clast-Ffirst-Slast-weka.filters.unsupervised.instance.RemoveDuplicates

@attribute Version numeric
@attribute LOC numeric
@attribute NR numeric
@attribute NFix numeric
@attribute NAuth numeric
@attribute LOC_added numeric
@attribute MAX_LOC_added numeric
@attribute Churn numeric
@attribute MAX_Churn numeric
@attribute Age numeric
@attribute Buggy {Yes,No}

@data
1,249,6,0,6,452,383,411,383,43,Yes
1,100,6,0,6,199,173,173,173,43,Yes
1,10,11,0,7,164,69,103,69,43,Yes
1,19,6,0,6,108,82,82,82,43,No
1,651,5,0,5,1054,1013,1010,1013,43,Yes
1,202,5,0,5,357,329,329,329,43,Yes
1,59,6,0,6,278,245,244,245,43,Yes
1,39,4,0,4,107,84,84,84,43,Yes
1,9,4,0,4,66,43,43,43,43,Yes
1,37,5,1,5,94,69,69,69,43,Yes
1,33,4,0,4,87,64,64,64,43,Yes
1,121,5,0,5,190,161,161,161,43,Yes
1,20,6,0,6,114,86,86,86,43,No
1,52,4,0,4,327,304,304,304,43,Yes
1,428,7,0,7,732,703,704,703,43,Yes
1,1163,13,0,13,1870,1748,1764,1748,43,Yes
1,816,13,0,13,1281,1135,1171,1135,43,Yes
1,35,5,0,5,92,68,68,68,43,Yes
1,664,17,1,17,3563,1123,1123,1104,43,Yes
1,88,4,0,4,162,139,139,139,43,Yes
1,109,5,0,5,187,163,163,163,43,Yes
1,28,5,0,5,84,60,60,60,43,No
1,138,6,0,6,258,231,227,231,43,No
1,361,7,0,7,642,608,607,608,43,Yes
1,86,5,0,5,159,135,135,135,43,No
1,6,5,0,5,59,35,35,35,43,No
1,23,4,0,4,183,160,160,160,43,No
1,1319,7,0,7,2087,2053,2047,2053,43,Yes
1,54,5,0,5,117,93,93,93,43,Yes
1,66,4,0,4,172,149,149,149,43,Yes
1,10,11,0,6,217,131,165,131,43,Yes
1,17,6,0,6,98,67,67,67,43,No
1,21,7,0,7,129,99,99,99,43,No
1,57,7,0,7,296,265,265,265,43,Yes
1,412,7,0,7,570,536,534,536,43,Yes
1,206,4,0,4,341,318,318,318,43,Yes
1,223,4,0,4,388,365,365,365,43,Yes
1,40,5,0,5,113,90,86,90,43,Yes
1,10,9,0,5,155,74,108,74,43,Yes
1,45,4,0,4,102,79,79,79,43,No
1,46,6,0,6,118,89,89,89,43,No
1,116,5,0,5,206,174,173,174,43,Yes
1,43,4,0,4,101,78,78,78,43,No
1,31,5,0,5,83,58,58,58,43,No
1,34,4,0,4,90,67,67,67,43,Yes
1,20,4,0,4,71,48,48,48,43,Yes
1,29,4,0,4,82,59,59,59,43,Yes
1,48,4,0,4,103,80,80,80,43,Yes
1,32,4,0,4,86,63,63,63,43,Yes
1,87,6,0,6,149,123,124,123,43,Yes
1,185,5,0,5,286,262,262,262,43,Yes
1,80,6,0,6,155,124,130,124,43,Yes
1,1183,11,1,11,1624,1573,1579,1573,43,Yes
1,108,6,0,6,197,169,169,169,43,Yes
1,56,4,0,4,115,92,92,92,43,Yes
1,35,5,0,5,90,65,65,65,43,Yes
1,91,4,0,4,156,133,133,133,43,Yes
1,314,8,1,8,441,401,401,401,43,Yes
1,175,6,0,6,285,258,257,258,43,Yes
1,50,6,1,6,109,83,84,83,43,Yes
1,61,4,0,4,118,95,95,95,43,Yes
1,97,7,0,7,196,144,154,144,43,Yes
1,28,5,0,5,122,96,96,96,43,No
1,41,5,0,5,179,149,149,149,43,No
1,180,6,0,6,270,234,231,234,43,No
1,349,8,2,8,478,430,422,430,43,Yes
1,117,6,0,6,209,175,174,175,43,Yes
1,65,5,0,5,128,104,104,104,43,Yes
1,58,5,0,5,117,93,93,93,43,Yes
1,74,5,0,5,134,110,110,110,43,Yes
1,46,5,0,5,104,80,80,80,43,Yes
1,185,6,0,6,288,260,258,260,43,Yes
1,43,4,0,4,109,86,86,86,43,No
1,19,4,0,4,78,55,55,55,43,No
1,17,4,0,4,74,51,51,51,43,No
1,18,4,0,4,75,52,52,52,43,No
1,25,4,0,4,83,60,60,60,43,Yes
1,20,4,0,4,69,46,46,46,43,No
1,48,5,0,5,105,81,81,81,43,Yes
1,315,7,0,7,431,400,400,400,43,Yes
1,46,4,0,4,108,85,85,85,43,Yes
1,59,6,0,6,126,94,94,94,43,No
1,59,6,0,6,125,93,93,93,43,Yes
1,658,17,3,17,949,731,859,731,43,Yes
1,122,6,0,6,208,170,167,170,43,Yes
1,135,6,1,6,241,207,207,207,43,Yes
1,262,11,1,11,393,309,339,309,43,Yes
1,210,8,0,8,313,276,267,276,43,Yes
1,202,6,0,6,375,321,323,321,43,Yes
